open,high,low,close,volume,date,RSI,symbol
102.585,103.54,101.6,102.84,31704261,2025-05-09,58.7091,AMD
101.92,105.44,101.56,101.7,54231362,2025-05-08,57.2698,AMD
100.75,103.42,96.88,100.36,86648749,2025-05-07,55.5797,AMD
98.41,100.07,97.44,98.62,54264254,2025-05-06,53.3553,AMD
99.0,102.05,98.76,100.59,41268886,2025-05-05,56.3204,AMD
98.4,99.88,98.3,98.8,29957888,2025-05-02,54.1716,AMD
99.265,100.1,96.45,96.65,29591507,2025-05-01,51.5111,AMD
92.81,97.55,91.87,97.35,29730729,2025-04-30,52.4313,AMD
95.755,97.1767,95.33,96.06,20700637,2025-04-29,50.9313,AMD
95.575,97.4865,94.27,96.39,30456683,2025-04-28,51.3157,AMD
93.275,97.1,92.85,96.645,28575343,2025-04-25,51.5951,AMD
91.59,94.75,90.37,94.47,33681919,2025-04-24,49.4136,AMD
91.875,93.74,90.12,90.39,41102589,2025-04-23,45.1041,AMD
86.12,87.17,85.17,86.26,35236735,2025-04-22,40.3257,AMD
86.015,86.14,83.75,85.56,33855392,2025-04-21,39.4968,AMD
88.84,89.03,86.515,87.5,34801437,2025-04-17,40.961,AMD
87.61,90.47,85.295,88.29,62109016,2025-04-16,41.5433,AMD
94.66,96.85,94.62,95.29,28116536,2025-04-15,47.0464,AMD
97.11,97.3699,93.45,94.5,36002970,2025-04-14,46.3009,AMD
90.51,94.76,90.5,93.4,57892600,2025-04-11,45.3054,AMD
91.0,92.95,85.06,88.7,65210565,2025-04-10,40.9631,AMD
79.22,97.91,78.87,96.84,97827352,2025-04-09,46.9588,AMD
86.145,88.93,76.48,78.21,69910233,2025-04-08,23.0099,AMD
80.68,89.0,77.75,83.64,70515429,2025-04-07,26.2132,AMD
90.1,91.08,83.67,85.76,65847021,2025-04-04,27.6065,AMD
97.79,99.4499,93.64,93.8,50472542,2025-04-03,33.9638,AMD
101.52,104.185,100.76,102.96,20793989,2025-04-02,44.9031,AMD
102.16,102.83,100.93,102.78,23523230,2025-04-01,44.5774,AMD
100.235,102.82,98.8,102.74,30865342,2025-03-31,44.5097,AMD
105.525,106.51,102.48,103.22,31069114,2025-03-28,45.1239,AMD
106.11,107.62,105.5499,106.65,32773714,2025-03-27,49.6715,AMD
114.11,115.8999,108.68,110.19,39976485,2025-03-26,54.9818,AMD
113.265,114.95,112.71,114.81,29077507,2025-03-25,63.1655,AMD
109.73,114.85,109.4,113.85,53342002,2025-03-24,62.0764,AMD
105.33,107.25,104.33,106.44,30767938,2025-03-21,51.8779,AMD
105.12,108.26,105.12,107.14,26871839,2025-03-20,53.1312,AMD
104.42,107.9,101.96,106.23,32287496,2025-03-19,51.7233,AMD
103.85,104.55,102.97,103.51,27152827,2025-03-18,47.332,AMD
102.6,106.15,102.6,104.59,43689523,2025-03-17,48.9744,AMD
99.64,101.22,99.58,100.97,24715265,2025-03-14,42.7962,AMD
99.715,100.07,97.27,98.11,28575150,2025-03-13,37.2195,AMD
99.045,101.715,98.17,100.79,34241287,2025-03-12,40.6693,AMD
96.79,98.1599,94.73,96.76,34078300,2025-03-11,31.8489,AMD
98.57,101.29,95.83,96.63,38281746,2025-03-10,31.5441,AMD
98.88,100.65,96.39,100.31,33254367,2025-03-07,35.7471,AMD
99.05,101.08,98.27,98.85,28984978,2025-03-06,32.4303,AMD
100.36,101.84,98.87,101.67,27855488,2025-03-05,35.7392,AMD
96.0,103.18,95.89,100.75,54156941,2025-03-04,33.6896,AMD
101.515,102.34,97.09,98.23,38957988,2025-03-03,27.8354,AMD
99.56,101.8,98.69,99.86,45194576,2025-02-28,29.394,AMD
105.08,105.76,99.5,99.51,47263727,2025-02-27,28.5968,AMD
104.945,105.7999,103.99,104.74,29178213,2025-02-26,33.9093,AMD
107.885,108.64,103.62,103.96,39169161,2025-02-25,32.1641,AMD
111.49,111.6,107.98,108.11,29072208,2025-02-24,36.9897,AMD
114.845,115.76,110.43,110.84,41353683,2025-02-21,40.7216,AMD
115.01,116.55,113.105,114.17,27219565,2025-02-20,45.9755,AMD
114.245,116.11,113.14,114.69,28807709,2025-02-19,46.852,AMD
114.05,115.55,113.45,114.28,31720307,2025-02-18,46.0997,AMD
112.65,114.63,111.7,113.1,32477159,2025-02-14,43.9804,AMD
112.0,114.6,110.4,111.81,40911804,2025-02-13,41.6516,AMD
109.52,111.8356,109.0649,111.72,25319729,2025-02-12,41.494,AMD
108.98,113.07,108.94,111.1,35033759,2025-02-11,40.4655,AMD
108.44,111.4,108.15,110.48,34905359,2025-02-10,39.4776,AMD
109.13,109.92,106.79,107.56,46082499,2025-02-07,34.742,AMD
110.93,112.56,109.02,110.16,50426590,2025-02-06,37.1451,AMD
107.61,112.09,106.5,112.01,110609343,2025-02-05,38.924,AMD
115.45,119.85,114.79,119.5,69412094,2025-02-04,47.4707,AMD
113.875,115.16,112.98,114.27,34586051,2025-02-03,38.7506,AMD
119.14,119.565,115.33,115.95,40533565,2025-01-31,40.7694,AMD
118.53,120.44,117.09,118.86,29788383,2025-01-30,44.4978,AMD
115.77,118.52,114.96,117.35,40199052,2025-01-29,41.9394,AMD
115.175,116.15,112.95,114.17,40554760,2025-01-28,36.187,AMD
117.8,118.08,112.8,115.01,61067888,2025-01-27,37.0883,AMD
124.55,125.25,122.23,122.84,31570300,2025-01-24,47.2813,AMD
121.425,123.71,120.63,123.04,24921108,2025-01-23,47.5915,AMD
123.08,125.65,121.912,123.75,35023842,2025-01-22,48.6436,AMD
122.39,123.75,121.1201,122.28,31578832,2025-01-21,46.364,AMD
120.78,122.74,120.55,121.46,35765924,2025-01-17,45.1018,AMD
120.24,121.09,118.25,118.44,29414126,2025-01-16,40.297,AMD
117.55,120.42,117.46,119.96,38185819,2025-01-15,42.0156,AMD
118.0,118.66,114.5,116.09,37005279,2025-01-14,35.5133,AMD
115.28,117.48,114.41,117.32,39128897,2025-01-13,36.7288,AMD
118.18,118.71,114.4501,116.04,59415614,2025-01-10,34.5646,AMD
124.51,125.3,120.1201,121.84,46723136,2025-01-08,40.3757,AMD
130.51,131.71,126.8537,127.33,39220408,2025-01-07,47.3766,AMD
129.07,130.73,127.36,129.55,48020190,2025-01-06,50.676,AMD
121.65,125.56,121.42,125.37,36785299,2025-01-03,43.8376,AMD
122.29,123.14,119.44,120.63,34256182,2025-01-02,34.2372,AMD
123.1,123.55,120.138,120.79,30203428,2024-12-31,34.4216,AMD
123.562,124.1,122.35,122.44,30501637,2024-12-30,36.2938,AMD
124.37,126.18,122.26,125.19,32924011,2024-12-27,39.6296,AMD
125.52,127.2999,125.05,125.06,25139138,2024-12-26,39.385,AMD
127.51,127.51,124.66,126.29,24829564,2024-12-24,40.8385,AMD
120.71,126.3387,120.47,124.6,47777898,2024-12-23,37.9154,AMD
118.0,121.86,117.9,119.21,53591212,2024-12-20,27.2735,AMD
122.16,123.38,118.45,118.88,46160667,2024-12-19,26.5578,AMD
125.43,127.75,120.43,121.41,49724442,2024-12-18,28.5585,AMD
124.45,127.08,123.15,125.02,43314939,2024-12-17,31.7252,AMD
126.01,127.76,123.12,126.69,42090277,2024-12-16,33.3118,AMD
131.3,131.3,124.77,126.91,67544738,2024-12-13,33.5169,AMD
