open,high,low,close,volume,date,RSI,symbol
281.62,282.48,273.88,275.42,4324188,2025-05-09,56.4111,CRM
279.21,283.045,278.38,279.74,4789858,2025-05-08,60.7683,CRM
273.71,278.79,273.71,278.23,4268307,2025-05-07,59.7595,CRM
269.82,274.7976,268.54,273.36,4681552,2025-05-06,56.402,CRM
273.37,276.165,272.31,272.63,4219639,2025-05-05,55.8897,CRM
274.46,276.32,272.25,275.08,4323760,2025-05-02,58.0141,CRM
273.4,274.6,269.0,269.33,5208927,2025-05-01,54.2221,CRM
264.8,268.87,263.0,268.71,4624088,2025-04-30,53.8043,CRM
265.4,268.575,265.17,267.76,3140601,2025-04-29,53.1967,CRM
268.145,269.5,263.33,265.64,4977724,2025-04-28,51.8851,CRM
264.72,269.03,264.2,267.85,5651651,2025-04-25,53.3318,CRM
258.2,264.98,257.0,264.7,7857563,2025-04-24,51.5436,CRM
252.61,257.79,249.5,250.48,5818895,2025-04-23,42.2717,CRM
238.23,244.22,235.597,243.39,7145288,2025-04-22,36.6604,CRM
240.43,242.48,232.77,236.26,9240009,2025-04-21,30.3373,CRM
249.77,251.56,246.8,247.26,5566857,2025-04-17,35.4,CRM
251.93,256.61,246.69,249.84,7190940,2025-04-16,36.7351,CRM
254.37,256.72,253.8,254.93,5227671,2025-04-15,39.4616,CRM
260.0,260.0,253.14,254.55,6038546,2025-04-14,39.1485,CRM
254.27,256.41,247.675,255.0,6089003,2025-04-11,39.3724,CRM
260.0,261.24,248.13,255.12,9692344,2025-04-10,39.4282,CRM
240.9,268.17,240.9,265.17,12491148,2025-04-09,44.0815,CRM
253.95,257.3855,240.266,243.99,9340310,2025-04-08,26.3333,CRM
230.0,252.95,230.0,244.21,11965180,2025-04-07,26.4141,CRM
247.7,250.29,239.53,240.76,9704996,2025-04-04,22.9697,CRM
260.14,262.57,254.45,255.23,8872602,2025-04-03,28.0906,CRM
265.96,273.63,265.75,271.54,5396853,2025-04-02,36.6403,CRM
268.86,270.82,265.82,270.2,4598153,2025-04-01,35.1342,CRM
264.55,268.45,259.19,268.36,7585804,2025-03-31,33.1066,CRM
276.71,277.205,269.19,269.97,4973419,2025-03-28,33.9693,CRM
280.54,280.8987,276.01,277.81,3757245,2025-03-27,38.5066,CRM
288.34,289.04,279.58,280.99,5073391,2025-03-26,40.5464,CRM
285.61,290.45,285.61,288.61,4301704,2025-03-25,45.964,CRM
283.74,286.76,283.22,285.96,6763802,2025-03-24,43.5273,CRM
276.21,281.85,274.05,280.62,9804132,2025-03-21,38.3231,CRM
277.06,282.88,277.06,279.03,5504720,2025-03-20,36.7106,CRM
277.5,282.22,277.29,279.39,5245412,2025-03-19,36.9135,CRM
280.02,280.5,275.94,278.73,5882123,2025-03-18,36.3142,CRM
277.37,282.73,276.0785,280.75,4484727,2025-03-17,37.3217,CRM
275.0,279.89,272.68,279.4,6976916,2025-03-14,36.2237,CRM
282.05,282.555,269.75,271.74,9494522,2025-03-13,29.7381,CRM
281.85,285.9268,279.09,284.58,7463894,2025-03-12,35.3304,CRM
273.72,280.45,272.0,277.05,8313375,2025-03-11,27.9523,CRM
276.97,278.35,270.72,272.9,9928915,2025-03-10,23.4849,CRM
283.18,288.309,275.17,282.89,8248082,2025-03-07,27.2637,CRM
288.23,298.08,284.8327,286.05,10396805,2025-03-06,28.6161,CRM
287.22,292.6835,285.621,291.97,6612561,2025-03-05,31.3187,CRM
290.0,291.65,282.235,287.34,9096260,2025-03-04,26.2612,CRM
301.0,303.07,291.06,293.06,6298208,2025-03-03,28.6843,CRM
295.955,301.9799,292.1536,297.85,10863109,2025-02-28,30.9015,CRM
296.34,304.92,292.67,294.9,16691436,2025-02-27,27.7058,CRM
312.66,313.7,306.45,307.33,12638452,2025-02-26,33.8267,CRM
306.25,308.42,300.62,305.88,7360070,2025-02-25,32.2043,CRM
311.51,312.73,303.525,308.32,6652863,2025-02-24,33.4872,CRM
318.97,318.97,306.86,309.8,7353214,2025-02-21,34.2558,CRM
322.24,324.45,318.21,318.43,6393050,2025-02-20,39.1171,CRM
329.74,329.74,322.87,324.53,5012019,2025-02-19,43.1348,CRM
328.59,329.16,323.0,328.96,5262109,2025-02-18,46.3447,CRM
328.03,328.5,322.62,326.54,5879716,2025-02-14,44.2399,CRM
326.2,330.3473,323.22,329.85,4312066,2025-02-13,46.5597,CRM
319.55,327.0,316.97,326.12,5643373,2025-02-12,43.4572,CRM
324.02,326.44,321.26,324.4,5455939,2025-02-11,42.0158,CRM
327.92,331.75,326.65,327.2,5981915,2025-02-10,43.6997,CRM
332.0,333.82,323.72,325.83,7626090,2025-02-07,42.6555,CRM
337.475,337.475,329.1,330.81,13240635,2025-02-06,45.5043,CRM
345.72,348.04,338.8725,347.93,4521009,2025-02-05,57.834,CRM
345.62,346.93,338.6722,344.14,4965602,2025-02-04,55.3468,CRM
335.97,341.46,331.2601,339.24,4549415,2025-02-03,51.9438,CRM
348.0,349.5,340.1,341.7,5781541,2025-01-31,53.8572,CRM
340.9,348.0,340.0,343.57,7591129,2025-01-30,55.295,CRM
358.76,360.18,351.5,354.0,6266724,2025-01-29,64.1666,CRM
354.77,367.09,350.455,359.95,12099293,2025-01-28,70.1267,CRM
332.36,353.15,330.5,347.1,15661109,2025-01-27,63.2884,CRM
336.3,338.65,331.785,333.88,3299074,2025-01-24,53.0135,CRM
332.33,335.46,329.6,334.66,4355877,2025-01-23,53.839,CRM
331.25,335.2288,327.28,332.62,7259285,2025-01-22,52.0246,CRM
329.4,329.52,322.45,326.84,6397166,2025-01-21,46.4911,CRM
328.72,329.5699,323.07,324.56,6303558,2025-01-17,44.1308,CRM
322.94,327.72,319.55,320.0,5051487,2025-01-16,39.1456,CRM
329.88,331.53,320.78,321.16,6042674,2025-01-15,39.9884,CRM
325.0,329.935,321.5,323.54,5935221,2025-01-14,41.699,CRM
314.6,320.55,313.8,319.07,4583023,2025-01-13,36.999,CRM
322.765,322.765,316.02,317.85,6539973,2025-01-10,35.685,CRM
327.74,328.8,323.11,326.9,3788206,2025-01-08,41.6718,CRM
330.5,331.5,322.91,324.93,4643133,2025-01-07,39.6244,CRM
334.02,336.6,327.28,330.53,5785333,2025-01-06,43.6707,CRM
332.1,333.44,329.27,332.9,4102503,2025-01-03,45.4964,CRM
336.31,338.92,327.81,330.66,4807138,2025-01-02,43.4204,CRM
336.27,337.15,332.41,334.33,3026017,2024-12-31,46.0913,CRM
333.47,338.1078,331.61,335.74,3411528,2024-12-30,47.1255,CRM
340.35,342.27,335.27,338.45,3220402,2024-12-27,49.0912,CRM
344.88,344.88,341.0312,341.72,3484545,2024-12-26,51.4982,CRM
343.0,344.95,340.83,344.43,1810961,2024-12-24,53.5175,CRM
342.25,343.8457,336.68,342.9,5330267,2024-12-23,52.5419,CRM
332.74,346.45,331.1395,343.65,14932307,2024-12-20,53.0487,CRM
341.695,343.53,335.43,336.23,7423351,2024-12-19,48.484,CRM
354.5,354.77,335.24,337.23,8400030,2024-12-18,49.0811,CRM
