open,high,low,close,volume,date,RSI,symbol
154.17,155.05,152.2,152.75,32435281,2025-05-09,43.3452,GOOGL
155.0,155.93,152.9,154.28,57498692,2025-05-08,44.8923,GOOGL
164.08,165.0,147.84,151.38,127747554,2025-05-07,41.1984,GOOGL
162.17,164.8,161.19,163.23,21277210,2025-05-06,55.251,GOOGL
163.0,165.39,162.72,164.21,21341814,2025-05-05,56.7372,GOOGL
163.405,164.97,161.87,164.03,25715005,2025-05-02,56.5378,GOOGL
160.45,161.95,158.91,161.3,30203248,2025-05-01,53.521,GOOGL
157.975,159.27,155.4,158.8,34981059,2025-04-30,50.6055,GOOGL
160.325,160.74,157.52,160.16,26808958,2025-04-29,52.2615,GOOGL
162.425,163.15,158.6,160.61,29745782,2025-04-28,52.7922,GOOGL
165.07,166.1,161.04,161.96,56033995,2025-04-25,54.3293,GOOGL
156.15,159.59,155.79,159.28,45893951,2025-04-24,51.7391,GOOGL
155.61,157.525,153.81,155.35,31128833,2025-04-23,47.7,GOOGL
148.89,152.19,148.54,151.47,26971774,2025-04-22,43.3539,GOOGL
148.88,148.945,146.1,147.67,26049115,2025-04-21,38.7229,GOOGL
154.29,154.68,148.5,151.16,33046576,2025-04-17,41.625,GOOGL
153.1,155.89,151.51,153.33,28187421,2025-04-16,43.5076,GOOGL
159.125,159.65,155.21,156.31,27551534,2025-04-15,46.1704,GOOGL
159.995,161.72,157.56,159.07,30332957,2025-04-14,48.7357,GOOGL
152.9,157.67,152.82,157.14,33636239,2025-04-11,46.817,GOOGL
156.54,157.72,149.93,152.82,48021972,2025-04-10,42.3308,GOOGL
144.415,159.55,143.905,158.71,70406232,2025-04-09,47.392,GOOGL
151.22,152.24,143.03,144.7,52200208,2025-04-08,28.514,GOOGL
141.55,152.85,140.53,146.75,76794136,2025-04-07,29.9755,GOOGL
148.01,151.07,145.38,145.6,62259539,2025-04-04,28.0546,GOOGL
151.11,152.7799,150.39,150.72,46883371,2025-04-03,31.6432,GOOGL
155.15,158.4052,154.7,157.04,25041730,2025-04-02,37.0797,GOOGL
153.62,158.1,153.62,157.07,30672899,2025-04-01,37.1078,GOOGL
153.11,155.54,150.662,154.64,54603464,2025-03-31,33.3062,GOOGL
160.49,161.82,153.63,154.33,48669335,2025-03-28,32.8252,GOOGL
164.63,165.42,162.0,162.24,24508273,2025-03-27,39.5905,GOOGL
169.0,169.61,164.84,165.06,28939326,2025-03-26,42.4895,GOOGL
168.98,170.63,168.315,170.56,24174373,2025-03-25,48.9857,GOOGL
167.065,168.32,165.14,167.68,30879129,2025-03-24,44.8888,GOOGL
161.205,164.24,160.8901,163.99,36625764,2025-03-21,39.0667,GOOGL
161.57,164.89,160.96,162.8,28138464,2025-03-20,37.0761,GOOGL
161.76,165.87,161.0,163.89,34275582,2025-03-19,38.1357,GOOGL
163.675,164.25,156.72,160.67,42074751,2025-03-18,32.8731,GOOGL
165.03,166.3,163.67,164.29,31184335,2025-03-17,36.0768,GOOGL
