open,high,low,close,volume,date,RSI,symbol
21.2,21.45,20.83,21.42,51768565,2025-05-09,54.6819,INTC
21.01,21.24,20.64,21.0,71651698,2025-05-08,52.3209,INTC
19.97,20.37,19.82,20.31,61134293,2025-05-07,48.2043,INTC
19.92,20.12,19.77,19.94,51330772,2025-05-06,45.8776,INTC
20.39,20.58,20.235,20.27,44236981,2025-05-05,47.6503,INTC
20.26,20.78,20.21,20.62,63298512,2025-05-02,49.5354,INTC
20.215,20.65,19.94,19.98,72607511,2025-05-01,45.9015,INTC
19.71,20.18,19.55,20.1,68297323,2025-04-30,46.4843,INTC
20.31,20.845,20.22,20.34,70031864,2025-04-29,47.6068,INTC
20.12,21.08,20.05,20.51,96624416,2025-04-28,48.3752,INTC
19.73,20.18,19.34,20.05,147711174,2025-04-25,46.1931,INTC
21.035,21.55,20.88,21.49,117086220,2025-04-24,52.6637,INTC
20.715,21.03,20.31,20.59,97188101,2025-04-23,48.475,INTC
19.055,19.735,19.04,19.51,83365634,2025-04-22,42.8389,INTC
18.93,18.985,18.25,18.84,72409946,2025-04-21,38.9948,INTC
18.91,19.1,18.56,18.93,85646667,2025-04-17,39.3247,INTC
19.34,19.43,18.72,19.23,89469703,2025-04-16,40.382,INTC
20.2,20.47,19.81,19.85,64056895,2025-04-15,42.579,INTC
20.59,21.05,19.9801,20.31,101964371,2025-04-14,44.2371,INTC
19.245,19.795,18.175,19.74,128425810,2025-04-11,41.6214,INTC
20.675,20.82,19.16,19.88,129064855,2025-04-10,42.0715,INTC
18.07,21.73,17.975,21.53,224183490,2025-04-09,47.719,INTC
20.06,20.39,17.665,18.13,163982681,2025-04-08,29.6493,INTC
19.14,20.67,18.56,19.57,142491152,2025-04-07,34.3134,INTC
21.7,22.2,19.7,19.85,175014739,2025-04-04,35.3165,INTC
21.4,23.9,20.86,22.43,242972129,2025-04-03,47.0966,INTC
21.89,22.38,21.7,21.98,58878848,2025-04-02,44.0754,INTC
22.56,22.62,21.66,22.05,64060355,2025-04-01,44.442,INTC
22.38,22.745,21.75,22.71,65832019,2025-03-31,47.9325,INTC
23.35,23.58,22.56,22.71,58365257,2025-03-28,47.9325,INTC
23.285,23.76,22.855,23.62,57720584,2025-03-27,52.869,INTC
24.25,24.4194,23.25,23.42,59678008,2025-03-26,51.8572,INTC
24.175,24.75,24.11,24.2,51743281,2025-03-25,56.229,INTC
24.715,24.99,24.13,24.22,69169028,2025-03-24,56.3421,INTC
23.6,24.7,23.49,24.26,94110710,2025-03-21,56.5533,INTC
23.77,24.31,23.73,23.96,68937584,2025-03-20,55.3885,INTC
24.9,25.2299,24.03,24.12,135491427,2025-03-19,56.1338,INTC
25.55,26.41,25.39,25.92,132488822,2025-03-18,65.3154,INTC
24.42,26.145,24.37,25.69,160723633,2025-03-17,64.629,INTC
23.675,24.37,23.52,24.05,116901643,2025-03-14,59.2949,INTC
23.5,24.53,23.13,23.7,243260993,2025-03-13,58.041,INTC
20.79,21.17,20.21,20.68,128671089,2025-03-12,44.291,INTC
19.965,20.06,19.29,19.78,80788985,2025-03-11,38.7352,INTC
20.24,20.51,19.65,19.93,79671246,2025-03-10,39.3424,INTC
20.27,21.2,20.11,20.64,81099646,2025-03-07,42.2537,INTC
20.26,21.13,20.0,20.75,96466381,2025-03-06,42.7084,INTC
21.33,21.36,20.18,20.81,127219259,2025-03-05,42.9424,INTC
22.54,22.63,20.76,21.33,152182200,2025-03-04,44.9235,INTC
25.0,25.04,22.52,22.74,141348692,2025-03-03,50.8275,INTC
23.02,24.44,22.64,23.73,104133777,2025-02-28,55.5909,INTC
23.7,24.4,23.07,23.09,97871945,2025-02-27,52.9437,INTC
23.245,23.82,23.21,23.52,67449304,2025-02-26,54.9887,INTC
24.21,24.28,22.7701,22.99,88886469,2025-02-25,52.9068,INTC
24.55,24.8,23.62,24.27,91358071,2025-02-24,59.0297,INTC
25.96,26.29,24.84,24.87,111630859,2025-02-21,62.161,INTC
25.56,26.12,24.48,26.09,144939566,2025-02-20,69.0798,INTC
25.98,26.33,25.46,25.72,151881727,2025-02-19,68.0793,INTC
24.6,27.55,24.49,27.39,284292210,2025-02-18,78.761,INTC
24.36,25.19,22.86,23.6,230254092,2025-02-14,68.2693,INTC
22.84,24.83,22.79,24.13,248661333,2025-02-13,72.9486,INTC
21.98,22.56,20.93,22.48,162631182,2025-02-12,66.2641,INTC
19.87,21.88,19.8618,20.97,150960704,2025-02-11,57.2972,INTC
19.25,20.08,19.24,19.77,73007266,2025-02-10,46.8778,INTC
19.35,19.36,19.03,19.1,58277917,2025-02-07,39.1844,INTC
19.51,19.7,19.22,19.38,45553771,2025-02-06,41.5177,INTC
19.19,19.77,18.91,19.65,66250254,2025-02-05,43.8561,INTC
19.1,19.53,19.02,19.29,54098200,2025-02-04,39.6476,INTC
18.97,19.75,18.78,19.38,77523142,2025-02-03,40.3498,INTC
20.1,20.33,19.38,19.43,117474899,2025-01-31,40.7218,INTC
19.72,20.1,19.43,20.01,108166983,2025-01-30,45.2118,INTC
19.87,20.08,19.66,19.75,86506821,2025-01-29,42.5763,INTC
20.34,20.342,19.74,19.8,73411385,2025-01-28,42.9452,INTC
20.81,21.06,20.14,20.29,83582097,2025-01-27,46.6211,INTC
21.36,21.41,20.75,20.83,66300614,2025-01-24,51.0969,INTC
21.69,21.75,21.35,21.57,55778156,2025-01-23,58.2077,INTC
21.725,22.285,21.57,21.86,60972578,2025-01-22,61.3126,INTC
22.03,22.41,21.75,21.77,96262179,2025-01-21,60.7087,INTC
21.26,21.62,20.79,21.49,166483914,2025-01-17,58.8528,INTC
19.75,19.95,19.4,19.67,44898059,2025-01-16,42.4452,INTC
19.4,19.77,19.171,19.72,56305989,2025-01-15,42.8814,INTC
19.36,19.52,18.82,19.2,47147526,2025-01-14,36.5881,INTC
18.92,19.249,18.73,19.2,50668970,2025-01-13,36.5881,INTC
19.66,19.66,18.91,19.15,71244581,2025-01-10,36.0035,INTC
19.825,20.12,19.71,19.88,47897071,2025-01-08,41.1461,INTC
20.02,20.34,19.9,20.01,61726060,2025-01-07,42.1415,INTC
20.83,20.98,19.78,19.87,83270990,2025-01-06,40.7071,INTC
20.39,20.665,20.06,20.56,48983942,2025-01-03,45.9166,INTC
20.23,20.43,20.0,20.22,46438529,2025-01-02,42.5527,INTC
19.99,20.4,19.88,20.05,49846656,2024-12-31,40.8444,INTC
20.01,20.115,19.73,19.82,59608126,2024-12-30,38.5488,INTC
20.21,20.605,20.09,20.3,48260830,2024-12-27,41.6836,INTC
20.23,20.665,20.08,20.44,39950380,2024-12-26,42.6223,INTC
20.22,20.4,19.96,20.4,29884026,2024-12-24,42.2774,INTC
19.58,20.23,19.52,20.2,57988375,2024-12-23,40.6203,INTC
18.97,19.76,18.9,19.52,108453667,2024-12-20,34.702,INTC
19.53,19.69,19.03,19.06,69117805,2024-12-19,30.3409,INTC
20.48,20.58,19.21,19.3,86041243,2024-12-18,31.3555,INTC
20.64,20.77,20.2925,20.44,51767153,2024-12-17,36.7802,INTC
20.17,21.1,20.0,20.83,73832891,2024-12-16,38.9191,INTC
20.6,20.8,20.25,20.34,55104079,2024-12-13,34.4733,INTC
