open,high,low,close,volume,date,RSI,symbol
440.0,440.74,435.88,438.73,15324233,2025-05-09,71.9412,MSFT
437.93,443.67,435.66,438.17,23491330,2025-05-08,71.7551,MSFT
433.84,438.12,431.1103,433.35,23307241,2025-05-07,70.1744,MSFT
432.2,437.73,431.17,433.31,15104204,2025-05-06,70.1615,MSFT
432.87,439.5,432.11,436.17,20136053,2025-05-05,72.2306,MSFT
431.74,439.44,429.985,435.28,30757434,2025-05-02,71.9919,MSFT
431.11,436.99,424.9,425.4,58938100,2025-05-01,69.2693,MSFT
390.3,396.66,384.44,395.26,36461075,2025-04-30,57.5919,MSFT
391.3,395.1,390.38,394.04,14973976,2025-04-29,56.9774,MSFT
391.955,392.74,386.638,391.16,16579430,2025-04-28,55.5661,MSFT
387.0,392.16,384.6,391.85,18973165,2025-04-25,55.9746,MSFT
375.695,388.45,375.19,387.3,22232289,2025-04-24,53.8995,MSFT
376.06,380.39,373.02,374.39,20545526,2025-04-23,47.3624,MSFT
363.375,367.77,359.8602,366.82,19484993,2025-04-22,42.9584,MSFT
362.815,364.48,355.67,359.12,20807279,2025-04-21,38.0639,MSFT
373.745,374.3215,366.89,367.78,21120192,2025-04-17,41.8106,MSFT
380.67,381.61,368.0,371.61,21967826,2025-04-16,43.5719,MSFT
388.505,391.89,384.1599,385.73,17199890,2025-04-15,50.9143,MSFT
393.22,394.65,384.21,387.81,19251172,2025-04-14,52.1156,MSFT
380.635,390.05,378.89,388.45,23839220,2025-04-11,52.4693,MSFT
382.06,383.9,367.8,381.35,38024368,2025-04-10,48.8964,MSFT
353.535,393.225,353.1,390.49,50199696,2025-04-09,53.7238,MSFT
368.255,373.65,350.25,354.56,35868918,2025-04-08,27.6502,MSFT
350.88,370.9999,344.79,357.86,50424998,2025-04-07,29.0459,MSFT
364.125,374.59,359.48,359.84,49209854,2025-04-04,29.8865,MSFT
374.785,377.48,369.35,373.11,30197997,2025-04-03,36.4507,MSFT
377.965,385.08,376.62,382.14,16092555,2025-04-02,42.3248,MSFT
374.65,382.85,373.23,382.19,19689503,2025-04-01,42.3599,MSFT
372.535,377.07,367.24,375.39,35184676,2025-03-31,35.6175,MSFT
388.08,389.13,376.93,378.8,21632016,2025-03-28,37.6693,MSFT
390.13,392.24,387.395,390.58,13766761,2025-03-27,46.2081,MSFT
395.0,395.31,388.57,389.97,16132906,2025-03-26,45.6153,MSFT
393.915,396.36,392.64,395.16,15774968,2025-03-25,49.9653,MSFT
395.4,395.4,389.81,393.08,21004548,2025-03-24,48.1243,MSFT
383.215,391.74,382.8,391.26,39675928,2025-03-21,46.5257,MSFT
385.735,391.785,383.28,386.84,18470542,2025-03-20,42.5319,MSFT
385.525,389.68,384.0,387.82,19185532,2025-03-19,43.1961,MSFT
387.07,387.37,381.1,383.52,19486850,2025-03-18,39.3363,MSFT
386.7,392.705,385.57,388.7,22474272,2025-03-17,42.5722,MSFT
379.775,390.23,379.51,388.56,19952846,2025-03-14,42.4534,MSFT
383.155,385.32,377.45,378.77,20473017,2025-03-13,33.5234,MSFT
382.95,385.2165,378.9507,383.27,24253567,2025-03-12,35.9013,MSFT
379.0,386.0,376.91,380.45,30380177,2025-03-11,33.1417,MSFT
385.84,386.4,377.22,380.16,32569768,2025-03-10,32.8657,MSFT
392.32,394.8,385.54,393.31,22034087,2025-03-07,39.7801,MSFT
