open,high,low,close,volume,date,RSI,symbol
117.35,118.23,115.21,116.65,132972189,2025-05-09,57.8631,NVDA
118.25,118.68,115.85,117.37,198428122,2025-05-08,59.0096,NVDA
113.045,117.68,112.2818,117.06,207827821,2025-05-07,58.6823,NVDA
111.48,114.74,110.822,113.54,158525621,2025-05-06,54.8838,NVDA
112.905,114.665,112.66,113.82,133163241,2025-05-05,55.259,NVDA
114.18,115.4,113.37,114.5,190194778,2025-05-02,56.1244,NVDA
113.08,114.94,111.3,111.61,236121507,2025-05-01,53.2343,NVDA
104.47,108.92,104.08,108.92,235044611,2025-04-30,50.4111,NVDA
107.67,110.1999,107.44,109.02,170444263,2025-04-29,50.5163,NVDA
109.69,110.3699,106.02,108.73,207708479,2025-04-28,50.2365,NVDA
106.85,111.92,105.73,111.01,251064672,2025-04-25,52.3999,NVDA
103.475,106.54,103.11,106.43,220815041,2025-04-24,48.2424,NVDA
104.52,104.8,102.02,102.71,247525971,2025-04-23,44.5924,NVDA
98.78,99.811,97.28,98.89,241004784,2025-04-22,40.5981,NVDA
98.77,99.44,95.04,96.91,288501136,2025-04-21,38.4629,NVDA
104.45,104.47,100.05,101.49,292517465,2025-04-17,41.6809,NVDA
104.55,106.79,100.45,104.49,397016870,2025-04-16,43.9157,NVDA
110.97,113.615,110.5,112.2,228966900,2025-04-15,50.3592,NVDA
114.11,114.29,109.07,110.71,264705049,2025-04-14,49.0168,NVDA
108.5,111.5499,107.48,110.93,313417265,2025-04-11,49.1992,NVDA
109.37,110.86,99.15,107.57,437812353,2025-04-10,46.3688,NVDA
98.89,115.1,97.5301,114.33,612918336,2025-04-09,51.756,NVDA
103.805,105.85,94.46,96.3,476243392,2025-04-08,32.2661,NVDA
87.46,101.75,86.62,97.64,611041347,2025-04-07,33.1915,NVDA
98.91,100.13,92.11,94.31,532273810,2025-04-04,28.4568,NVDA
103.51,105.63,101.6,101.8,338769412,2025-04-03,33.4007,NVDA
107.29,111.98,106.79,110.42,220601243,2025-04-02,41.0158,NVDA
