open,high,low,close,volume,date,RSI,symbol
290.21,307.04,290.0,298.26,132387835,2025-05-09,60.8504,TSLA
279.63,289.8,279.41,284.82,97539448,2025-05-08,56.3281,TSLA
276.88,277.92,271.0,276.22,71882408,2025-05-07,53.1097,TSLA
273.105,277.73,271.35,275.35,76715792,2025-05-06,52.7828,TSLA
284.57,284.849,274.4,280.26,94618882,2025-05-05,54.7841,TSLA
284.9,294.78,279.81,287.21,114454683,2025-05-02,57.6576,TSLA
280.01,290.8688,279.81,280.52,99658974,2025-05-01,55.5749,TSLA
279.9,284.45,270.78,282.16,128961057,2025-04-30,56.2042,TSLA
285.5,293.32,279.4695,292.03,108906553,2025-04-29,60.001,TSLA
288.98,294.86,272.42,285.88,151731771,2025-04-28,58.374,TSLA
261.69,286.85,259.63,284.95,167560688,2025-04-25,58.1349,TSLA
250.5,259.54,249.2,259.51,94464195,2025-04-24,50.9823,TSLA
254.86,259.4499,244.43,250.74,150381903,2025-04-23,48.1465,TSLA
230.96,242.79,229.8501,237.97,120858452,2025-04-22,43.7461,TSLA
230.26,232.21,222.79,227.5,97768007,2025-04-21,39.8606,TSLA
243.47,244.34,237.6833,241.37,83404775,2025-04-17,43.5618,TSLA
247.61,251.97,233.89,241.55,112378737,2025-04-16,43.6106,TSLA
249.91,258.75,247.54,254.11,79594318,2025-04-15,47.0237,TSLA
258.36,261.8,245.93,252.35,100135241,2025-04-14,46.4786,TSLA
251.84,257.74,241.3629,252.31,128948085,2025-04-11,46.467,TSLA
260.0,262.49,239.33,252.4,181722604,2025-04-10,46.4881,TSLA
224.69,274.69,223.88,272.2,219433373,2025-04-09,51.2396,TSLA
245.0,250.44,217.8,221.86,171603472,2025-04-08,35.7319,TSLA
223.78,252.0,214.25,233.29,183453776,2025-04-07,38.3001,TSLA
255.38,261.0,236.0,239.43,181229353,2025-04-04,39.7243,TSLA
265.29,276.3,261.51,267.28,136174291,2025-04-03,47.1011,TSLA
254.6,284.99,251.27,282.76,212787817,2025-04-02,52.0941,TSLA
263.8,277.45,259.25,268.46,146486911,2025-04-01,47.3023,TSLA
249.31,260.56,243.3601,259.16,134008936,2025-03-31,43.9143,TSLA
275.575,276.1,260.57,263.55,123809389,2025-03-28,45.1877,TSLA
272.48,291.85,271.8216,273.13,162572146,2025-03-27,48.0086,TSLA
282.66,284.9,266.51,272.06,156254441,2025-03-26,47.6698,TSLA
283.6,288.2,271.28,288.14,150361538,2025-03-25,52.4383,TSLA
258.075,278.64,256.33,278.39,169079865,2025-03-24,49.5997,TSLA
234.985,249.52,234.55,248.71,132728684,2025-03-21,39.3714,TSLA
233.345,238.0,230.0501,236.26,99028270,2025-03-20,34.1674,TSLA
231.61,241.41,229.201,235.86,111993753,2025-03-19,33.9984,TSLA
228.155,230.1,222.28,225.31,111477636,2025-03-18,29.5701,TSLA
245.055,245.4,232.8,238.01,111900565,2025-03-17,31.9676,TSLA
247.31,251.58,240.73,249.98,100242264,2025-03-14,34.4093,TSLA
248.125,248.29,232.6,240.68,114813525,2025-03-13,30.5842,TSLA
247.22,251.84,241.1,248.09,142215681,2025-03-12,31.9633,TSLA
225.305,237.0649,217.02,230.58,174896415,2025-03-11,24.4922,TSLA
